  4.999999987376214E-004
  R(mm),T(K),mf(-),mCO2(-),v(m/s),rho(kg/m3),enthalpy(J/kg),
  0.0000E+00,  0.3635E+04,  0.5932E-12,  0.3798E-02,  0.2464E-05,  0.9528E-01,  0.5903E+07,
  0.1000E+00,  0.3635E+04,  0.5932E-12,  0.3798E-02,  0.6839E-05,  0.9528E-01,  0.5903E+07,
  0.2000E+00,  0.3635E+04,  0.5930E-12,  0.3797E-02,  0.6924E-05,  0.9528E-01,  0.5903E+07,
  0.3000E+00,  0.3635E+04,  0.5929E-12,  0.3797E-02,  0.4967E-05,  0.9528E-01,  0.5903E+07,
  0.4000E+00,  0.3636E+04,  0.5928E-12,  0.3797E-02,  0.2908E-05,  0.9528E-01,  0.5903E+07,
  0.5000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1488E-05,  0.9528E-01,  0.5903E+07,
  0.6000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.6888E-06,  0.9528E-01,  0.5903E+07,
  0.7000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.2963E-06,  0.9528E-01,  0.5903E+07,
  0.8000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1210E-06,  0.9528E-01,  0.5903E+07,
  0.9000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.4793E-07,  0.9528E-01,  0.5903E+07,
  0.1000E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1907E-07,  0.9528E-01,  0.5903E+07,
  0.1100E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.8116E-08,  0.9528E-01,  0.5903E+07,
  0.1200E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.3981E-08,  0.9528E-01,  0.5903E+07,
  0.1300E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.2228E-08,  0.9528E-01,  0.5903E+07,
  0.1400E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1166E-08,  0.9528E-01,  0.5903E+07,
  0.1500E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.2130E-10,  0.9528E-01,  0.5903E+07,
  0.1600E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1943E-08,  0.9528E-01,  0.5903E+07,
  0.1700E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.5845E-08,  0.9528E-01,  0.5903E+07,
  0.1800E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1387E-07,  0.9528E-01,  0.5903E+07,
  0.1900E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.3049E-07,  0.9528E-01,  0.5903E+07,
  0.2000E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.6484E-07,  0.9528E-01,  0.5903E+07,
  0.2100E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1348E-06,  0.9528E-01,  0.5903E+07,
