           3  1.523999996152270E-003  1.671986757663613E-007
  4.899254150687097E-007  7.116005818891521E-007  8.083626062590298E-007
  7.888052598552174E-007  6.878719440456074E-007  5.474824298934275E-007
  4.032408090945528E-007  2.774467819463140E-007  1.793733682943201E-007
  1.090114838076560E-007  6.112263568054826E-008  2.864354384397087E-008
  4.181981760740860E-009 -1.994698950049240E-008 -5.309901722526432E-008
 -1.086647138700549E-007 -2.095298400293852E-007 -3.957683490401648E-007
 -7.383838491246463E-007 -1.365486179320487E-006 -2.501946788198672E-006
 -4.530502497567694E-006 -8.143874971405176E-006 -1.447403256358366E-005
 -2.542996933459024E-005 -4.413877553168189E-005 -7.562752245913470E-005
 -1.278062387467377E-004 -2.128244522619599E-004 -3.488390374782137E-004
 -5.621353728719998E-004 -8.893543792552733E-004 -1.379245565729367E-003
 -2.092880256526169E-003 -3.100664422921774E-003 -4.473980431433068E-003
 -6.269307765735279E-003 -8.503730638876278E-003 -1.112324865391700E-002
 -1.396904228854191E-002 -1.675184262683030E-002 -1.905046566144028E-002
 -2.035017612873893E-002 -2.011011347582927E-002 -1.781428734214736E-002
 -1.300780225278759E-002 -5.497154010923638E-003  3.992949141404792E-003
  1.284053027142809E-002  1.688750952631624E-002  1.573911543469859E-002
  5.074611665741090E-002  9.747538232571344E-002  0.143110529098625     
  0.180645407914584       0.209071597120890       0.227633565849948     
  0.236690200539380       0.238552798176852       0.235915070951030     
  0.230844961664791       0.224663786329117       0.218120278788626     
  0.211592090923400       0.205245403913301       0.199140361973413     
  0.193290155098893       0.187689734308278       0.182327943775385     
  0.177192332285038       0.172270587490229       0.167551083543318     
  0.163022895678362       0.158675800571911       0.154500317190910     
  0.150487492372208       0.146628992411586       0.142917018538596     
  0.139344234370547       0.135903764261007       0.132589166677739     
  0.129394367149872       0.126313660726531       0.123341677844636     
  0.120473360500256       0.117703952701686       0.115028951823985     
  0.112444114482164       0.109945432736406       0.107529118433314     
  0.105191607441771       0.102929482990353       0.100739562891934     
  9.861878152572721E-002  9.656428101852783E-002  9.457331831700475E-002
  9.264329923886569E-002  9.077177395481016E-002  8.895638255166517E-002
  8.719490953577187E-002  8.548525146524739E-002  8.382537776048976E-002
  8.221339041564460E-002  8.064745805082896E-002  7.912584243029912E-002
  7.764688657281148E-002  7.620901019016853E-002  7.481071396028782E-002
  7.345054472655209E-002  7.212714173197519E-002  7.083917894379470E-002
  6.958541396092290E-002  6.836464163547600E-002  6.717571418652020E-002
  6.601753333002049E-002  6.488904773192160E-002  6.378925658575980E-002
  6.271718526870554E-002  6.167191940934727E-002  6.065256340036863E-002
  5.965827663165803E-002  5.868823985564959E-002  5.774167059296292E-002
  5.681781776226820E-002  5.591596461694524E-002  5.503541054060172E-002
  5.417549743697233E-002  5.333557806384536E-002  5.251504416361719E-002
  5.171329686333628E-002  5.092977332530519E-002  5.016392608882887E-002
  4.941522115711901E-002  4.868314994111457E-002  4.796723546729436E-002
  4.726698885108452E-002  4.658197244765042E-002  4.591173778724780E-002
  4.525586195710247E-002  4.461394272926147E-002  4.398558741672438E-002
  4.337041172684741E-002  4.276804910522046E-002  4.217815547297203E-002
  4.160037593701257E-002  4.103439364840462E-002  4.047988179283810E-002
  3.993653204443138E-002  3.940405074289621E-002  3.888215029197872E-002
  3.837054842624361E-002  3.786897559684357E-002  3.737717863429250E-002
  3.689489483342058E-002  3.642189033473088E-002  3.595792240613904E-002
  3.550276199837680E-002  3.505619070448349E-002  3.461799401088195E-002
  3.418796081954037E-002  3.376588935361034E-002  3.335159003436551E-002
  3.294486499716534E-002  3.254553865278262E-002  3.215342764098900E-002
  3.176835892565592E-002  3.139016734883195E-002  3.101869026981741E-002
  3.065376729818250E-002  3.029524745438333E-002  2.994297958656746E-002
  2.959682135243603E-002  2.925663011618395E-002  2.892227154970501E-002
  2.859361100724307E-002  2.827052384496442E-002  2.795287888892793E-002
