  9.999999974752427E-004
  R(mm),T(K),mf(-),mCO2(-),v(m/s),rho(kg/m3),enthalpy(J/kg),
  0.0000E+00,  0.3635E+04,  0.5929E-12,  0.3797E-02,  0.4737E-06,  0.9528E-01,  0.5903E+07,
  0.1000E+00,  0.3636E+04,  0.5929E-12,  0.3797E-02,  0.1369E-05,  0.9528E-01,  0.5903E+07,
  0.2000E+00,  0.3636E+04,  0.5929E-12,  0.3797E-02,  0.1830E-05,  0.9528E-01,  0.5903E+07,
  0.3000E+00,  0.3636E+04,  0.5929E-12,  0.3797E-02,  0.1836E-05,  0.9528E-01,  0.5903E+07,
  0.4000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1541E-05,  0.9528E-01,  0.5903E+07,
  0.5000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1133E-05,  0.9528E-01,  0.5903E+07,
  0.6000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.7509E-06,  0.9528E-01,  0.5903E+07,
  0.7000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.4566E-06,  0.9528E-01,  0.5903E+07,
  0.8000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.2583E-06,  0.9528E-01,  0.5903E+07,
  0.9000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1375E-06,  0.9528E-01,  0.5903E+07,
  0.1000E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.6937E-07,  0.9528E-01,  0.5903E+07,
  0.1100E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.3325E-07,  0.9528E-01,  0.5903E+07,
  0.1200E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1474E-07,  0.9528E-01,  0.5903E+07,
  0.1300E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.4890E-08,  0.9528E-01,  0.5903E+07,
  0.1400E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1732E-08,  0.9528E-01,  0.5903E+07,
  0.1500E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.8966E-08,  0.9528E-01,  0.5903E+07,
  0.1600E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.2074E-07,  0.9528E-01,  0.5903E+07,
  0.1700E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.4298E-07,  0.9528E-01,  0.5903E+07,
  0.1800E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.8626E-07,  0.9528E-01,  0.5903E+07,
  0.1900E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1708E-06,  0.9528E-01,  0.5903E+07,
  0.2000E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.3340E-06,  0.9528E-01,  0.5903E+07,
  0.2100E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.6469E-06,  0.9528E-01,  0.5903E+07,
  0.2200E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1241E-05,  0.9528E-01,  0.5903E+07,
  0.2300E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.2356E-05,  0.9528E-01,  0.5903E+07,
  0.2400E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.4427E-05,  0.9528E-01,  0.5903E+07,
  0.2500E+01,  0.3636E+04,  0.5928E-12,  0.3797E-02, -0.8223E-05,  0.9528E-01,  0.5903E+07,
  0.2600E+01,  0.3635E+04,  0.5928E-12,  0.3797E-02, -0.1512E-04,  0.9528E-01,  0.5903E+07,
  0.2700E+01,  0.3635E+04,  0.5928E-12,  0.3798E-02, -0.2747E-04,  0.9528E-01,  0.5903E+07,
  0.2800E+01,  0.3635E+04,  0.5929E-12,  0.3800E-02, -0.4930E-04,  0.9529E-01,  0.5903E+07,
  0.2900E+01,  0.3635E+04,  0.5930E-12,  0.3802E-02, -0.8733E-04,  0.9529E-01,  0.5903E+07,
  0.3000E+01,  0.3634E+04,  0.5932E-12,  0.3808E-02, -0.1525E-03,  0.9531E-01,  0.5903E+07,
  0.3100E+01,  0.3633E+04,  0.5935E-12,  0.3817E-02, -0.2623E-03,  0.9534E-01,  0.5903E+07,
  0.3200E+01,  0.3632E+04,  0.5941E-12,  0.3833E-02, -0.4437E-03,  0.9538E-01,  0.5903E+07,
  0.3300E+01,  0.3629E+04,  0.5950E-12,  0.3862E-02, -0.7373E-03,  0.9546E-01,  0.5903E+07,
  0.3400E+01,  0.3624E+04,  0.5966E-12,  0.3910E-02, -0.1202E-02,  0.9558E-01,  0.5903E+07,
  0.3500E+01,  0.3616E+04,  0.5989E-12,  0.3993E-02, -0.1919E-02,  0.9579E-01,  0.5903E+07,
  0.3600E+01,  0.3603E+04,  0.6023E-12,  0.4130E-02, -0.2995E-02,  0.9613E-01,  0.5903E+07,
  0.3700E+01,  0.3583E+04,  0.6065E-12,  0.4359E-02, -0.4555E-02,  0.9667E-01,  0.5903E+07,
  0.3800E+01,  0.3552E+04,  0.6106E-12,  0.4738E-02, -0.6730E-02,  0.9750E-01,  0.5903E+07,
  0.3900E+01,  0.3506E+04,  0.6117E-12,  0.5362E-02, -0.9615E-02,  0.9878E-01,  0.5903E+07,
  0.4000E+01,  0.3440E+04,  0.6029E-12,  0.6395E-02, -0.1319E-01,  0.1007E+00,  0.5903E+07,
  0.4100E+01,  0.3347E+04,  0.5710E-12,  0.8112E-02, -0.1723E-01,  0.1035E+00,  0.5903E+07,
