  9.999999974752427E-004
  R(mm),T(K),mf(-),mCO2(-),v(m/s),rho(kg/m3),enthalpy(J/kg),
  0.4200E+01,  0.3224E+04,  0.4979E-12,  0.1098E-01, -0.2115E-01,  0.1074E+00,  0.5903E+07,
  0.4300E+01,  0.3068E+04,  0.3732E-12,  0.1578E-01, -0.2397E-01,  0.1129E+00,  0.5903E+07,
  0.4400E+01,  0.2883E+04,  0.2181E-12,  0.2387E-01, -0.2462E-01,  0.1201E+00,  0.5903E+07,
  0.4500E+01,  0.2681E+04,  0.9999E-13,  0.3742E-01, -0.2246E-01,  0.1292E+00,  0.5903E+07,
  0.4600E+01,  0.2473E+04,  0.4765E-11,  0.5811E-01, -0.1783E-01,  0.1400E+00,  0.5903E+07,
  0.4700E+01,  0.2268E+04,  0.1283E-08,  0.8194E-01, -0.1161E-01,  0.1527E+00,  0.5903E+07,
  0.4800E+01,  0.2065E+04,  0.2945E-06,  0.9951E-01, -0.3650E-02,  0.1677E+00,  0.5903E+07,
  0.4900E+01,  0.1859E+04,  0.6487E-04,  0.1032E+00,  0.1138E-01,  0.1862E+00,  0.5903E+07,
  0.5000E+01,  0.1563E+04,  0.1367E-01,  0.4006E-01,  0.8249E-01,  0.2214E+00, -0.2369E+05,
  0.5100E+01,  0.1155E+04,  0.4067E-01,  0.1251E-01,  0.1351E+00,  0.3002E+00, -0.2369E+05,
  0.5200E+01,  0.8360E+03,  0.4950E-01,  0.4330E-02,  0.1865E+00,  0.4148E+00, -0.2369E+05,
  0.5300E+01,  0.6074E+03,  0.5264E-01,  0.1693E-02,  0.2335E+00,  0.5709E+00, -0.2369E+05,
  0.5400E+01,  0.4605E+03,  0.5394E-01,  0.7146E-03,  0.2688E+00,  0.7529E+00, -0.2369E+05,
  0.5500E+01,  0.3767E+03,  0.5455E-01,  0.3081E-03,  0.2885E+00,  0.9203E+00, -0.2369E+05,
  0.5600E+01,  0.3336E+03,  0.5484E-01,  0.1296E-03,  0.2948E+00,  0.1039E+01, -0.2369E+05,
  0.5700E+01,  0.3135E+03,  0.5499E-01,  0.5142E-04,  0.2928E+00,  0.1105E+01, -0.2369E+05,
  0.5800E+01,  0.3050E+03,  0.5505E-01,  0.1884E-04,  0.2865E+00,  0.1136E+01, -0.2369E+05,
  0.5900E+01,  0.3017E+03,  0.5508E-01,  0.6316E-05,  0.2785E+00,  0.1148E+01, -0.2369E+05,
  0.6000E+01,  0.3005E+03,  0.5509E-01,  0.1935E-05,  0.2699E+00,  0.1153E+01, -0.2369E+05,
  0.6100E+01,  0.3001E+03,  0.5509E-01,  0.5429E-06,  0.2614E+00,  0.1154E+01, -0.2369E+05,
  0.6200E+01,  0.3000E+03,  0.5509E-01,  0.1401E-06,  0.2531E+00,  0.1154E+01, -0.2369E+05,
  0.6300E+01,  0.3000E+03,  0.5509E-01,  0.3340E-07,  0.2452E+00,  0.1155E+01, -0.2369E+05,
  0.6400E+01,  0.3000E+03,  0.5509E-01,  0.7385E-08,  0.2377E+00,  0.1155E+01, -0.2369E+05,
  0.6500E+01,  0.3000E+03,  0.5509E-01,  0.1521E-08,  0.2305E+00,  0.1155E+01, -0.2369E+05,
  0.6600E+01,  0.3000E+03,  0.5509E-01,  0.2929E-09,  0.2236E+00,  0.1155E+01, -0.2369E+05,
  0.6700E+01,  0.3000E+03,  0.5509E-01,  0.5288E-10,  0.2170E+00,  0.1155E+01, -0.2369E+05,
  0.6800E+01,  0.3000E+03,  0.5509E-01,  0.8980E-11,  0.2107E+00,  0.1155E+01, -0.2369E+05,
  0.6900E+01,  0.3000E+03,  0.5509E-01,  0.1438E-11,  0.2047E+00,  0.1155E+01, -0.2369E+05,
  0.7000E+01,  0.3000E+03,  0.5509E-01,  0.2179E-12,  0.1990E+00,  0.1155E+01, -0.2369E+05,
  0.7100E+01,  0.3000E+03,  0.5509E-01,  0.3127E-13,  0.1934E+00,  0.1155E+01, -0.2369E+05,
  0.7200E+01,  0.3000E+03,  0.5509E-01,  0.4264E-14,  0.1881E+00,  0.1155E+01, -0.2369E+05,
  0.7300E+01,  0.3000E+03,  0.5509E-01,  0.5532E-15,  0.1830E+00,  0.1155E+01, -0.2369E+05,
  0.7400E+01,  0.3000E+03,  0.5509E-01,  0.6843E-16,  0.1782E+00,  0.1155E+01, -0.2369E+05,
  0.7500E+01,  0.3000E+03,  0.5509E-01,  0.8084E-17,  0.1735E+00,  0.1155E+01, -0.2369E+05,
  0.7600E+01,  0.3000E+03,  0.5509E-01,  0.9136E-18,  0.1690E+00,  0.1155E+01, -0.2369E+05,
  0.7700E+01,  0.3000E+03,  0.5509E-01,  0.9892E-19,  0.1646E+00,  0.1155E+01, -0.2369E+05,
  0.7800E+01,  0.3000E+03,  0.5509E-01,  0.1028E-19,  0.1605E+00,  0.1155E+01, -0.2369E+05,
  0.7900E+01,  0.3000E+03,  0.5509E-01,  0.1026E-20,  0.1565E+00,  0.1155E+01, -0.2369E+05,
  0.8000E+01,  0.3000E+03,  0.5509E-01,  0.9849E-22,  0.1526E+00,  0.1155E+01, -0.2369E+05,
  0.8100E+01,  0.3000E+03,  0.5509E-01,  0.9108E-23,  0.1489E+00,  0.1155E+01, -0.2369E+05,
  0.8200E+01,  0.3000E+03,  0.5509E-01,  0.8123E-24,  0.1453E+00,  0.1155E+01, -0.2369E+05,
  0.8300E+01,  0.3000E+03,  0.5509E-01,  0.6994E-25,  0.1418E+00,  0.1155E+01, -0.2369E+05,
  0.8400E+01,  0.3000E+03,  0.5509E-01,  0.5820E-26,  0.1385E+00,  0.1155E+01, -0.2369E+05,
  0.8500E+01,  0.3000E+03,  0.5509E-01,  0.4684E-27,  0.1353E+00,  0.1155E+01, -0.2369E+05,
  0.8600E+01,  0.3000E+03,  0.5509E-01,  0.3651E-28,  0.1322E+00,  0.1155E+01, -0.2369E+05,
  0.8700E+01,  0.3000E+03,  0.5509E-01,  0.2758E-29,  0.1292E+00,  0.1155E+01, -0.2369E+05,
  0.8800E+01,  0.3000E+03,  0.5509E-01,  0.2020E-30,  0.1263E+00,  0.1155E+01, -0.2369E+05,
  0.8900E+01,  0.3000E+03,  0.5509E-01,  0.1437E-31,  0.1234E+00,  0.1155E+01, -0.2369E+05,
  0.9000E+01,  0.3000E+03,  0.5509E-01,  0.9923E-33,  0.1207E+00,  0.1155E+01, -0.2369E+05,
  0.9100E+01,  0.3000E+03,  0.5509E-01,  0.6663E-34,  0.1181E+00,  0.1155E+01, -0.2369E+05,
  0.9200E+01,  0.3000E+03,  0.5509E-01,  0.4351E-35,  0.1156E+00,  0.1155E+01, -0.2369E+05,
  0.9300E+01,  0.3000E+03,  0.5509E-01,  0.2766E-36,  0.1131E+00,  0.1155E+01, -0.2369E+05,
  0.9400E+01,  0.3000E+03,  0.5509E-01,  0.1712E-37,  0.1107E+00,  0.1155E+01, -0.2369E+05,
  0.9500E+01,  0.3000E+03,  0.5509E-01,  0.1033E-38,  0.1084E+00,  0.1155E+01, -0.2369E+05,
  0.9600E+01,  0.3000E+03,  0.5509E-01,  0.6075E-40,  0.1062E+00,  0.1155E+01, -0.2369E+05,
  0.9700E+01,  0.3000E+03,  0.5509E-01,  0.3486E-41,  0.1040E+00,  0.1155E+01, -0.2369E+05,
  0.9800E+01,  0.3000E+03,  0.5509E-01,  0.1953E-42,  0.1019E+00,  0.1155E+01, -0.2369E+05,
  0.9900E+01,  0.3000E+03,  0.5509E-01,  0.1068E-43,  0.9988E-01,  0.1155E+01, -0.2369E+05,
  0.1000E+02,  0.3000E+03,  0.5509E-01,  0.5711E-45,  0.9790E-01,  0.1155E+01, -0.2369E+05,
  0.1010E+02,  0.3000E+03,  0.5509E-01,  0.2985E-46,  0.9598E-01,  0.1155E+01, -0.2369E+05,
  0.1020E+02,  0.3000E+03,  0.5509E-01,  0.1526E-47,  0.9412E-01,  0.1155E+01, -0.2369E+05,
  0.1030E+02,  0.3000E+03,  0.5509E-01,  0.7631E-49,  0.9231E-01,  0.1155E+01, -0.2369E+05,
  0.1040E+02,  0.3000E+03,  0.5509E-01,  0.3736E-50,  0.9055E-01,  0.1155E+01, -0.2369E+05,
  0.1050E+02,  0.3000E+03,  0.5509E-01,  0.1792E-51,  0.8884E-01,  0.1155E+01, -0.2369E+05,
  0.1060E+02,  0.3000E+03,  0.5509E-01,  0.8420E-53,  0.8718E-01,  0.1155E+01, -0.2369E+05,
  0.1070E+02,  0.3000E+03,  0.5509E-01,  0.3878E-54,  0.8557E-01,  0.1155E+01, -0.2369E+05,
  0.1080E+02,  0.3000E+03,  0.5509E-01,  0.1752E-55,  0.8400E-01,  0.1155E+01, -0.2369E+05,
  0.1090E+02,  0.3000E+03,  0.5509E-01,  0.7760E-57,  0.8247E-01,  0.1155E+01, -0.2369E+05,
  0.1100E+02,  0.3000E+03,  0.5509E-01,  0.3373E-58,  0.8098E-01,  0.1155E+01, -0.2369E+05,
  0.1110E+02,  0.3000E+03,  0.5509E-01,  0.1440E-59,  0.7954E-01,  0.1155E+01, -0.2369E+05,
  0.1120E+02,  0.3000E+03,  0.5509E-01,  0.6033E-61,  0.7813E-01,  0.1155E+01, -0.2369E+05,
  0.1130E+02,  0.3000E+03,  0.5509E-01,  0.2484E-62,  0.7676E-01,  0.1155E+01, -0.2369E+05,
  0.1140E+02,  0.3000E+03,  0.5509E-01,  0.1005E-63,  0.7543E-01,  0.1155E+01, -0.2369E+05,
  0.1150E+02,  0.3000E+03,  0.5509E-01,  0.3994E-65,  0.7412E-01,  0.1155E+01, -0.2369E+05,
  0.1160E+02,  0.3000E+03,  0.5509E-01,  0.1561E-66,  0.7286E-01,  0.1155E+01, -0.2369E+05,
  0.1170E+02,  0.3000E+03,  0.5509E-01,  0.6001E-68,  0.7162E-01,  0.1155E+01, -0.2369E+05,
  0.1180E+02,  0.3000E+03,  0.5509E-01,  0.2269E-69,  0.7042E-01,  0.1155E+01, -0.2369E+05,
  0.1190E+02,  0.3000E+03,  0.5509E-01,  0.8445E-71,  0.6925E-01,  0.1155E+01, -0.2369E+05,
  0.1200E+02,  0.3000E+03,  0.5509E-01,  0.3093E-72,  0.6810E-01,  0.1155E+01, -0.2369E+05,
  0.1210E+02,  0.3000E+03,  0.5509E-01,  0.1115E-73,  0.6698E-01,  0.1155E+01, -0.2369E+05,
  0.1220E+02,  0.3000E+03,  0.5509E-01,  0.3962E-75,  0.6590E-01,  0.1155E+01, -0.2369E+05,
  0.1230E+02,  0.3000E+03,  0.5509E-01,  0.1404E-76,  0.6483E-01,  0.1155E+01, -0.2369E+05,
  0.1240E+02,  0.3000E+03,  0.5509E-01,  0.6690E-78,  0.6380E-01,  0.1155E+01, -0.2369E+05,
  0.1250E+02,  0.3000E+03,  0.5509E-01,  0.2080E-78,  0.6278E-01,  0.1155E+01, -0.2369E+05,
  0.1260E+02,  0.3000E+03,  0.5509E-01,  0.1924E-78,  0.6179E-01,  0.1155E+01, -0.2369E+05,
  0.1270E+02,  0.3000E+03,  0.5509E-01,  0.1919E-78,  0.6083E-01,  0.1155E+01, -0.2369E+05,
  0.1280E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5989E-01,  0.1155E+01, -0.2369E+05,
  0.1290E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5896E-01,  0.1155E+01, -0.2369E+05,
  0.1300E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5806E-01,  0.1155E+01, -0.2369E+05,
  0.1310E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5718E-01,  0.1155E+01, -0.2369E+05,
  0.1320E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5632E-01,  0.1155E+01, -0.2369E+05,
  0.1330E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5548E-01,  0.1155E+01, -0.2369E+05,
  0.1340E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5466E-01,  0.1155E+01, -0.2369E+05,
  0.1350E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5386E-01,  0.1155E+01, -0.2369E+05,
  0.1360E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5307E-01,  0.1155E+01, -0.2369E+05,
  0.1370E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5230E-01,  0.1155E+01, -0.2369E+05,
  0.1380E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5155E-01,  0.1155E+01, -0.2369E+05,
  0.1390E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5081E-01,  0.1155E+01, -0.2369E+05,
  0.1400E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.5009E-01,  0.1155E+01, -0.2369E+05,
  0.1410E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4939E-01,  0.1155E+01, -0.2369E+05,
  0.1420E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4870E-01,  0.1155E+01, -0.2369E+05,
  0.1430E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4802E-01,  0.1155E+01, -0.2369E+05,
  0.1440E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4736E-01,  0.1155E+01, -0.2369E+05,
  0.1450E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4671E-01,  0.1155E+01, -0.2369E+05,
  0.1460E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4607E-01,  0.1155E+01, -0.2369E+05,
  0.1470E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4545E-01,  0.1155E+01, -0.2369E+05,
  0.1480E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4484E-01,  0.1155E+01, -0.2369E+05,
  0.1490E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4424E-01,  0.1155E+01, -0.2369E+05,
  0.1500E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4366E-01,  0.1155E+01, -0.2369E+05,
  0.1510E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4308E-01,  0.1155E+01, -0.2369E+05,
  0.1520E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4252E-01,  0.1155E+01, -0.2369E+05,
  0.1530E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4197E-01,  0.1155E+01, -0.2369E+05,
  0.1540E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4143E-01,  0.1155E+01, -0.2369E+05,
  0.1550E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4089E-01,  0.1155E+01, -0.2369E+05,
  0.1560E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.4037E-01,  0.1155E+01, -0.2369E+05,
  0.1570E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3986E-01,  0.1155E+01, -0.2369E+05,
  0.1580E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3936E-01,  0.1155E+01, -0.2369E+05,
  0.1590E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3887E-01,  0.1155E+01, -0.2369E+05,
  0.1600E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3839E-01,  0.1155E+01, -0.2369E+05,
  0.1610E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3791E-01,  0.1155E+01, -0.2369E+05,
  0.1620E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3745E-01,  0.1155E+01, -0.2369E+05,
  0.1630E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3699E-01,  0.1155E+01, -0.2369E+05,
  0.1640E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3654E-01,  0.1155E+01, -0.2369E+05,
  0.1650E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3610E-01,  0.1155E+01, -0.2369E+05,
  0.1660E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3567E-01,  0.1155E+01, -0.2369E+05,
  0.1670E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3525E-01,  0.1155E+01, -0.2369E+05,
  0.1680E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3483E-01,  0.1155E+01, -0.2369E+05,
  0.1690E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3442E-01,  0.1155E+01, -0.2369E+05,
  0.1700E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3402E-01,  0.1155E+01, -0.2369E+05,
  0.1710E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3362E-01,  0.1155E+01, -0.2369E+05,
  0.1720E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3323E-01,  0.1155E+01, -0.2369E+05,
  0.1730E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3285E-01,  0.1155E+01, -0.2369E+05,
  0.1740E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3247E-01,  0.1155E+01, -0.2369E+05,
  0.1750E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3211E-01,  0.1155E+01, -0.2369E+05,
  0.1760E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3174E-01,  0.1155E+01, -0.2369E+05,
  0.1770E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3139E-01,  0.1155E+01, -0.2369E+05,
  0.1780E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3103E-01,  0.1155E+01, -0.2369E+05,
  0.1790E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3069E-01,  0.1155E+01, -0.2369E+05,
  0.1800E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3035E-01,  0.1155E+01, -0.2369E+05,
  0.1810E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.3002E-01,  0.1155E+01, -0.2369E+05,
  0.1820E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2969E-01,  0.1155E+01, -0.2369E+05,
  0.1830E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2937E-01,  0.1155E+01, -0.2369E+05,
  0.1840E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2905E-01,  0.1155E+01, -0.2369E+05,
  0.1850E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2874E-01,  0.1155E+01, -0.2369E+05,
  0.1860E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2843E-01,  0.1155E+01, -0.2369E+05,
  0.1870E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2813E-01,  0.1155E+01, -0.2369E+05,
  0.1880E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2783E-01,  0.1155E+01, -0.2369E+05,
  0.1890E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2754E-01,  0.1155E+01, -0.2369E+05,
  0.1900E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2725E-01,  0.1155E+01, -0.2369E+05,
  0.1910E+02,  0.3000E+03,  0.5509E-01,  0.1918E-78,  0.2696E-01,  0.1155E+01, -0.2369E+05,
  0.1920E+02,  0.3000E+03,  0.5508E-01,  0.1918E-78,  0.2668E-01,  0.1155E+01, -0.2369E+05,
  0.1930E+02,  0.3000E+03,  0.5505E-01,  0.1916E-78,  0.2641E-01,  0.1155E+01, -0.2369E+05,
  0.1940E+02,  0.3000E+03,  0.5492E-01,  0.1909E-78,  0.2614E-01,  0.1155E+01, -0.2369E+05,
  0.1950E+02,  0.3000E+03,  0.5447E-01,  0.1886E-78,  0.2587E-01,  0.1155E+01, -0.2369E+05,
  0.1960E+02,  0.3000E+03,  0.5321E-01,  0.1822E-78,  0.2561E-01,  0.1155E+01, -0.2369E+05,
  0.1970E+02,  0.3000E+03,  0.5019E-01,  0.1671E-78,  0.2535E-01,  0.1155E+01, -0.2369E+05,
  0.1980E+02,  0.3000E+03,  0.4423E-01,  0.1390E-78,  0.2510E-01,  0.1155E+01, -0.2369E+05,
  0.1990E+02,  0.3000E+03,  0.3493E-01,  0.9842E-79,  0.2485E-01,  0.1155E+01, -0.2369E+05,
